Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
69,1.15,-4.6021,5,0.75,-0.1502,0.4528,0.46470588235294324,0.46470588235294324,0.09294117647058865,0.09294117647058865,-0.3004,0.09056,0.3979,0.0785,0.0226,14.715,14.7376,AFTER
70,1.167,-4.6045,5,0.75,-0.1427,0.4302,0.4411764705882324,0.4411764705882324,0.08823529411764648,0.08823529411764648,-0.2854,0.08604,0.3955,0.0809,0.0204,14.715,14.7354,AFTER
71,1.183,-4.6067,5,0.75,-0.1355,0.4087,0.4499999999999986,0.4499999999999986,0.08999999999999973,0.08999999999999973,-0.2711,0.08174000000000001,0.3933,0.0831,0.0184,14.715,14.7334,AFTER
72,1.2,-4.6089,5,0.75,-0.1288,0.3882,0.3941176470588264,0.3941176470588264,0.07882352941176529,0.07882352941176529,-0.2575,0.07764,0.3911,0.0853,0.0166,14.715,14.7316,AFTER
73,1.217,-4.6109,5,0.75,-0.1223,0.3688,0.3823529411764673,0.3823529411764673,0.07647058823529346,0.07647058823529346,-0.2447,0.07376,0.3891,0.0873,0.015,14.715,14.73,AFTER
74,1.233,-4.6128,5,0.75,-0.1162,0.3504,0.3812500000000002,0.3812500000000002,0.07625000000000004,0.07625000000000004,-0.2324,0.07008,0.3872,0.0892,0.0135,14.715,14.7285,AFTER
75,1.25,-4.6147,5,0.75,-0.1104,0.3329,0.3411764705882372,0.3411764705882372,0.06823529411764744,0.06823529411764744,-0.2208,0.06658,0.3853,0.0911,0.0122,14.715,14.7272,AFTER
76,1.267,-4.6164,5,0.75,-0.1049,0.3162,0.323529411764708,0.323529411764708,0.0647058823529416,0.0647058823529416,-0.2098,0.06324,0.3836,0.0928,0.011,14.715,14.726,AFTER
77,1.283,-4.6181,5,0.75,-0.0996,0.3004,0.33124999999999966,0.33124999999999966,0.06624999999999993,0.06624999999999993,-0.1993,0.06008,0.3819,0.0945,0.0099,14.715,14.7249,AFTER
78,1.3,-4.6197,5,0.75,-0.0947,0.2854,0.2882352941176442,0.2882352941176442,0.05764705882352884,0.05764705882352884,-0.1893,0.05708,0.3803,0.0961,0.009,14.715,14.724,AFTER
